"BORROWER_ID","CONTRACT_NO","BILL_DATE","TRANSACTION_AMOUNT","PAYMENT_DUE_DATE"
"STK2079856","PLMBA014455",04-07-17,8250,09-07-17
"STK2079856","PLMBA014455",04-04-17,8250,09-04-17
"STK2079856","PLMBA014455",04-05-17,8250,09-05-17
"STK2079856","PLMBA014455",04-10-17,8250,09-10-17
"STK2079856","PLMBA014455",04-06-17,8250,09-06-17
"STK2079856","PLMBA014455",04-02-17,8250,09-02-17
"STK2079856","PLMBA014455",04-09-17,8250,09-09-17
"STK2079856","PLMBA014455",04-03-17,8250,09-03-17
"STK2079856","PLMBA014455",04-08-17,8250,09-08-17
"STK2079856","PLMBA014455",04-12-17,8250,09-12-17
"STK2079856","PLMBA014455",04-11-17,8250,09-11-17
"STK2079856","PLMBA014455",04-01-18,8250,09-01-18
"STK2079856","PLMBA014455",04-02-18,8250,09-02-18
"STK2079856","PLMBA014455",04-06-18,8250,09-06-18
"STK2079856","PLMBA014455",04-03-18,8250,09-03-18
"STK2079856","PLMBA014455",04-04-18,8250,09-04-18
"STK2079856","PLMBA014455",04-05-18,8250,09-05-18
"STK2079856","PLMBA014455",04-08-18,8250,09-08-18
"STK2079856","PLMBA014455",04-07-18,8250,09-07-18
"STK2079856","PLMBA014455",04-11-18,8250,09-11-18
"STK2079856","PLMBA014455",04-09-18,8250,09-09-18
"STK2079856","PLMBA014455",04-10-18,8250,09-10-18
"STK2079856","PLMBA014455",04-01-19,8250,09-01-19
"STK2079856","PLMBA014455",04-12-18,8250,09-12-18
"STK2221859","KRMBA005035RST1",24-03-17,15341.83,29-03-17
"STK2221859","KRMBA005035RST1",24-04-17,15341.83,29-04-17
"STK2221859","KRMBA005035RST1",24-09-17,15341.83,29-09-17
"STK2221859","KRMBA005035RST1",24-05-17,15341.83,29-05-17
"STK2221859","KRMBA005035RST1",24-06-17,15341.83,29-06-17
"STK2221859","KRMBA005035RST1",24-02-17,15341.83,01-03-17
"STK2221859","KRMBA005035RST1",24-08-17,15341.83,29-08-17
"STK2221859","KRMBA005035RST1",24-12-17,15341.83,29-12-17
"STK2221859","KRMBA005035RST1",24-07-17,15341.83,29-07-17
"STK2221859","KRMBA005035RST1",24-11-17,15341.83,29-11-17
"STK2221859","KRMBA005035RST1",24-02-18,15341.83,01-03-18
"STK2221859","KRMBA005035RST1",24-10-17,15341.83,29-10-17
"STK2221859","KRMBA005035RST1",24-01-18,15341.83,29-01-18
"STK2221859","KRMBA005035RST1",24-03-18,15341.83,29-03-18
"STK2221859","KRMBA005035RST1",24-04-18,15341.83,29-04-18
"STK1479012","ARMBA013483",25-02-20,12925,01-03-20
"STK1479012","ARMBA013483",25-01-20,12925,30-01-20
"STK1479012","ARMBA013483",25-12-19,12925,30-12-19
"STK1479012","ARMBA013483",25-03-17,12925,30-03-17
"STK1479012","ARMBA013483",25-04-17,12925,30-04-17
"STK1479012","ARMBA013483",25-09-17,12925,30-09-17
"STK1479012","ARMBA013483",25-05-17,12925,30-05-17
"STK1479012","ARMBA013483",25-06-17,12925,30-06-17
"STK1479012","ARMBA013483",25-02-17,12925,02-03-17
"STK1479012","ARMBA013483",25-08-17,12925,30-08-17
"STK1479012","ARMBA013483",25-12-17,12925,30-12-17
"STK1479012","ARMBA013483",25-07-17,12925,30-07-17
"STK1479012","ARMBA013483",25-11-17,12925,30-11-17
"STK1479012","ARMBA013483",25-01-18,12925,30-01-18
"STK1479012","ARMBA013483",25-10-17,12925,30-10-17
"STK1479012","ARMBA013483",25-03-18,12925,30-03-18
"STK1479012","ARMBA013483",25-05-18,12925,30-05-18
"STK1479012","ARMBA013483",25-02-18,12925,02-03-18
"STK1479012","ARMBA013483",25-04-18,12925,30-04-18
"STK1479012","ARMBA013483",25-09-18,12925,30-09-18
"STK1479012","ARMBA013483",25-07-18,12925,30-07-18
"STK1479012","ARMBA013483",25-06-18,12925,30-06-18
"STK1479012","ARMBA013483",25-12-18,12925,30-12-18
"STK1479012","ARMBA013483",25-10-18,12925,30-10-18
"STK1479012","ARMBA013483",25-08-18,12925,30-08-18
"STK1479012","ARMBA013483",25-11-18,12925,30-11-18
"STK1479012","ARMBA013483",25-06-19,12925,30-06-19
"STK1479012","ARMBA013483",25-10-19,12925,30-10-19
"STK1479012","ARMBA013483",25-08-19,12925,30-08-19
"STK1479012","ARMBA013483",25-02-19,12925,02-03-19
"STK1479012","ARMBA013483",25-01-19,12925,30-01-19
"STK1479012","ARMBA013483",25-07-19,12925,30-07-19
