"BORROWER_ID","AGE_OF_RELATION_MONTHS","TOTAL_NO_OF_LOANS","TOTAL_LOAN_AMOUNT"
"STK2044462",42,1,164850
"STK2371847",42,1,227570
"STK2367657",42,1,150400
"STK2369235",42,1,148750
"STK1008451",42,2,419358.43
"STK2292781",42,1,164850
"STK1207594",42,1,96600
"STK1680503",42,1,361000
"STK2379582",42,1,88250
"STK2378749",42,3,349000
"STK2277611",45,3,343850
"STK2376895",42,1,122500
"STK2367588",42,1,148500
"STK2379320",42,1,173495
"STK2362958",42,1,69900
"STK2363887",42,1,120900
"STK2374138",42,1,173495
"STK2361593",42,1,164430
"STK2371946",42,1,145000
"STK2365609",42,1,138250
"STK2361749",42,1,165500
"STK2333467",42,1,162800
"STK2368434",42,1,95130
"STK1431125",42,1,160905
"STK2367906",42,1,289000
"STK1520915",42,1,164999
"STK2385009",42,1,156500
"STK2389629",42,1,139510
"STK2388354",42,1,173350
"STK2384342",42,1,470000
"STK2387265",42,1,138810
"STK1852118",42,1,115099
"STK2327327",42,1,164465
"STK2378236",42,1,413900
"STK2366316",42,1,164800
"STK1591596",42,1,167999
"STK2376967",42,1,172350
"STK2376048",42,1,118300
"STK2365269",42,1,95000
"STK2362507",42,1,150850
"STK2365610",42,1,164815
"STK2367669",42,1,110600
"STK2366724",42,1,163350
"STK2372770",42,1,213130
"STK2371275",42,1,95130
"STK2378213",42,1,99100
"STK2375198",42,1,290500
"STK2368129",42,1,233500
"STK2379355",42,2,318000
"STK2366734",42,1,174965
"STK2367153",42,1,164000
"STK1815365",42,1,275660
"STK2370834",42,1,307900
"STK2377829",42,1,164500
"STK2371136",42,1,162000
"STK2385300",42,1,249500
"STK1352629",42,1,173495
"STK2384829",42,1,76500
"STK2221859",46,2,430895.38
"STK2358344",42,1,173495
"STK2365568",42,1,192400
"STK2365192",42,2,1047600
"STK2370513",42,1,147480
"STK2368845",42,1,174965
"STK2378449",42,1,234500
"STK2365540",42,1,173600
"STK2366619",42,1,164850
"STK2372034",42,1,150850
"STK2361772",42,1,164850
"STK2379483",42,1,238000
"STK1007343",42,1,145900
"STK2351437",42,1,219275
"STK2377382",41,1,51400
"STK2048184",42,1,173500
"STK2368881",42,1,300000
"STK2370722",42,1,164850
"STK2375291",42,1,162400
"STK2377192",42,1,307930
"STK951941",42,1,125000
"STK870144",73,2,242000
"STK1327920",42,1,161000
"STK1691297",42,1,174950
"STK2368717",42,1,147000
"STK2380624",42,1,132930
"STK1100489",42,1,156551
"STK2372404",42,1,174965
"STK2368412",42,1,132800
"STK2372027",42,1,149300
"STK2377243",42,1,139510
"STK2368982",42,1,139510
"STK2318213",42,1,174950
"STK2382712",42,2,169000
"STK2384054",42,1,108400
"STK2389097",42,1,159599
"STK2383838",42,1,470000
"STK2387000",42,1,167230
"STK2388534",42,2,615830
"STK2387106",42,2,221310
"STK2380723",42,1,143499
"STK2389770",42,1,82600
"STK2384971",42,1,125000
"STK2381010",42,1,164850
"STK2382391",42,1,145000
"STK167285",42,1,137000
"STK2372143",42,1,302295
"STK2368016",42,1,174965
"STK2281291",42,2,238000
"STK2365410",42,1,266400
"STK2378238",42,1,167230
"STK2375335",42,1,126499
"STK2368012",42,1,149660
"STK2372974",42,1,100000
"STK2370638",42,1,303500
"STK2369829",42,1,164500
"STK2377119",42,1,174965
"STK2366611",42,1,164850
"STK2365694",42,1,100000
"STK1423180",42,1,164850
"STK2377035",42,1,110000
"STK2369421",42,1,164850
"STK2371427",42,1,164500
"STK2065276",42,2,385300
"STK2365856",42,1,138250
"STK2365373",42,1,139999
"STK2369181",42,1,147000
"STK2384832",42,1,300510
"STK2388380",42,1,147500
"STK2087279",42,1,164800
"STK2386073",42,1,122500
"STK2381247",42,1,164550
"STK2380534",42,2,525407
"STK2379945",42,1,164850
"STK2381671",42,1,162000
"STK2383465",42,1,98038
"STK2365971",42,3,433570
"STK2367246",42,1,99800
"STK2253043",42,1,160200
"STK2376165",42,1,164850
"STK2375230",42,2,214500
"STK2375557",42,1,145400
"STK2369365",42,1,148750
"STK2375187",42,1,129100
"STK2366736",42,2,274850
"STK2371820",42,1,164500
"STK2371461",42,1,120000
"STK2368804",42,2,299495
"STK2044152",42,2,234330
"STK1263591",42,1,227000
"STK2370491",42,1,147000
"STK978046",42,1,221600
"STK1944651",42,1,132900
"STK2367326",42,1,290500
"STK1749132",42,1,146999.3
"STK2326920",42,1,170200
"STK2370569",42,1,150000
"STK2377678",42,1,164850
"STK2379290",42,3,486620
"STK2375708",42,1,98468
"STK2371789",42,1,219800
"STK2369903",42,1,154000
"STK2374346",42,1,145900
"STK2370540",42,1,161350
"STK1779148",42,1,179100
"STK2376188",42,2,267230
"STK2377388",42,1,164500
"STK2384862",42,1,164500
"STK1291220",42,1,122500
"STK2386513",42,1,148750
"STK1437794",42,1,146499
"STK2382316",42,1,159200
"STK2387282",42,1,167230
"STK2383252",42,2,165000
"STK2381987",42,1,174965
"STK1026482",42,1,146999
"STK317402",42,1,173495
"STK2389915",42,1,290500
"STK2374381",42,1,162750
"STK2366693",42,1,264900
"STK2331734",42,1,154090
"STK2379250",42,1,140300
"STK2368980",42,2,499800
"STK1758563",42,1,152000
"STK2379357",42,1,110500
"STK2376164",42,1,272400
"STK2380041",42,1,164000
"STK1425907",42,1,122000
"STK1001998",42,1,173495
"STK2374211",42,1,135000
"STK852240",42,1,111930
"STK2324840",42,1,146999.3
"STK2379234",42,1,238000
"STK2369679",42,1,100850
"STK2375348",42,1,164500
"STK2376979",42,2,275400
"STK1688950",42,1,146999
"STK1767831",42,1,267750
"STK2366401",42,1,164850
"STK2373419",42,1,183190
"STK2380644",42,1,124600
"STK2370986",42,1,138810
"STK2370427",42,1,100100
"STK2365729",42,1,227430
"STK2367682",42,1,138000
"STK2027167",64,4,847765.14
"STK2312025",42,1,125000
"STK2370271",42,2,313688
"STK2373156",42,1,164000
"STK2371620",42,1,164850
"STK2379377",42,1,157000
"STK2369872",42,1,118999
"STK461410",42,1,158000
"STK2366258",42,1,227430
"STK2376175",42,1,155450
"STK2387311",42,2,583190
"STK2384769",42,1,164500
"STK2381961",42,2,354500
"STK2048288",42,1,165000
"STK2044927",42,1,244300
"STK2365889",42,1,227570
"STK2365450",42,1,164500
"STK1074608",42,1,164800
"STK1359825",42,1,164850
"STK2379732",42,1,216999
"STK1557784",42,1,164850
"STK2367581",42,1,164000
"STK2370863",42,2,216500
"STK2378603",42,1,146930
"STK2370925",42,1,218750
"STK2365434",42,1,164850
"STK2375225",42,2,307570
"STK2379367",42,2,270165
"STK2379509",42,1,103500
"STK2368890",42,1,110600
"STK2371119",42,1,165600
"STK2370808",42,1,96930
"STK2372775",42,1,300500
"STK2375747",42,1,150800
"STK2379227",42,1,226500
"STK182211",41,1,1500000
"STK2376073",42,2,588100
"STK2233750",42,1,221544
"STK2363190",42,1,199900
"STK2376000",42,1,164000
"STK2365514",42,1,216999
"STK2372534",42,1,167200
"STK2377098",42,1,114150
"STK2381818",42,1,100100
"STK2379193",42,1,164800
"STK2384318",42,1,164850
"STK1453796",42,1,100000
"STK2382400",42,1,99400
"STK2383276",42,1,164850
"STK2381955",42,1,114000
"STK278667",42,1,150150
"STK2383521",42,2,498000
"STK2387047",42,2,286550
"STK1746302",42,1,138810
"STK217163",42,1,100000
"STK2258980",42,1,164850
"STK2372076",42,1,224000
"STK37993",254,2,168800
"STK2339455",42,1,139510
"STK2361118",42,1,82500
"STK1963792",52,4,345000
"STK2367315",42,1,157500
"STK2372202",42,1,164850
"STK370966",102,2,209000
"STK338824",42,1,177240
"STK2378754",42,1,164850
"STK2373968",42,1,99000
"STK2365605",42,2,299250
"STK2367166",42,1,137920
"STK2379224",42,1,131430
"STK2379329",42,1,173495
"STK297028",42,1,139510
"STK2376070",42,1,70600
"STK1823270",42,1,164465
"STK2372868",42,1,201400
"STK2364616",42,1,160230
"STK2372456",42,1,159499
"STK2369619",42,1,209900
"STK2372025",42,1,100100
"STK2366723",42,1,138810
"STK2373903",42,1,227550
"STK2375266",42,1,173495
"STK2375957",42,1,206400
"STK2370972",42,1,161800
"STK2368815",42,1,267500
"STK2375810",42,1,166000
"STK2304491",44,2,720000
"STK2387177",42,1,164500
"STK2385229",42,1,146000
"STK177592",133,3,352200
"STK2367968",42,1,167230
"STK1207743",42,2,293495
"STK2375470",42,1,173495
"STK93759",42,2,227500
"STK2367840",42,1,102000
"STK1360709",42,1,185500
