"CONTRACT_NO","BORROWER_ID","LOAN_NAME","LOAN_TYPE","PRINCIPAL_AMOUNT","DATE_OF_ISSUE","INTEREST_RATE","INTEREST_TYPE","LOAN_PERIOD","EMI_AMOUNT","MORTAGE_TYPE","MORTAGE_AMOUNT","NO_OF_DAYS_IN_ARREARS","LOAN_STATUS"
"PLMBA014455","STK2079856","MOTOR BICYCLE ","LEASING",144600,07-01-17,32.2,"EFFECTIVE_RATE",24,8250,"VEHICLE",235500,0,"PERFORMING"
"KRMBA005035RST1","STK2221859","MOTOR BICYCLE ","LEASING",211495.38,24-01-17,35.67,"EFFECTIVE_RATE",18,15341.83,"VEHICLE",405900,-90,"PERFORMING"
"ARMBA013483","STK1479012","MOTOR BICYCLE ","LEASING",279930,18-01-17,36.64,"EFFECTIVE_RATE",36,12925,"VEHICLE",399900,223.5,"NPL"
"ANMBA008869","STK2299177","MOTOR BICYCLE ","LEASING",150000,20-01-17,39.72,"EFFECTIVE_RATE",30,7963,"VEHICLE",250000,-30,"PERFORMING"
"WYMBA004236","STK2343411","MOTOR BICYCLE ","LEASING",164250,04-01-17,33.61,"EFFECTIVE_RATE",36,7302,"VEHICLE",235500,-140.1,"PERFORMING"
"TBMBA011768","STK1556737","MOTOR BICYCLE ","LEASING",143500,20-01-17,30.69,"EFFECTIVE_RATE",36,6147,"VEHICLE",204999,240,"NPL"
"VWMBA008722","STK2356252","MOTOR BICYCLE ","LEASING",255500,09-01-17,39.14,"EFFECTIVE_RATE",24,15516,"VEHICLE",365000,-120,"PERFORMING"
"NAMBA007725","STK1135298","MOTOR BICYCLE ","LEASING",84890,10-01-17,33.21,"EFFECTIVE_RATE",12,8411,"VEHICLE",175000,-90,"PERFORMING"
"EMMBA015490","STK1425155","MOTOR BICYCLE ","LEASING",106491,05-01-17,28,"EFFECTIVE_RATE",24,5846,"VEHICLE",148500,356.7,"NPL"
"MDMBA005974","STK2355053","MOTOR BICYCLE ","LEASING",195000,13-01-17,34.9,"EFFECTIVE_RATE",36,8810,"VEHICLE",260000,90,"PERFORMING"
"KUMBA020809","STK693563","MOTOR BICYCLE ","LEASING",164499,04-01-17,35.75,"EFFECTIVE_RATE",36,7512,"VEHICLE",234999,-90,"PERFORMING"
"ARMBA012280","STK1523778","MOTOR BICYCLE ","LEASING",234500,03-01-17,39.43,"EFFECTIVE_RATE",36,11204,"VEHICLE",335000,736.2,"NPL"
"TBMBA011120","STK2360279","MOTOR BICYCLE ","LEASING",160230,02-01-17,40.33,"EFFECTIVE_RATE",36,7740,"VEHICLE",228900,265.5,"NPL"
"BMMBA011704","STK2343622","MOTOR BICYCLE ","LEASING",173495,03-01-17,40.66,"EFFECTIVE_RATE",24,10678,"VEHICLE",247850,-30,"PERFORMING"
"KUMBA020517","STK2348431","MOTOR BICYCLE ","LEASING",50000,02-01-17,41.46,"EFFECTIVE_RATE",12,5161,"VEHICLE",80000,-210,"PERFORMING"
"BLMBA009170","STK2353360","MOTOR BICYCLE ","LEASING",110600,18-01-17,43.66,"EFFECTIVE_RATE",36,5560,"VEHICLE",158000,336.3,"NPL"
"NAMBA007718","STK1093355","MOTOR BICYCLE ","LEASING",85620,10-01-17,33.21,"EFFECTIVE_RATE",12,8483,"VEHICLE",175000,-90,"PERFORMING"
"AGMBA005042","STK2358344","MOTOR BICYCLE ","LEASING",173495,03-01-17,25,"EFFECTIVE_RATE",36,6899,"VEHICLE",247850,-30,"PERFORMING"
"GPMBA015214","STK2358640","MOTOR BICYCLE ","LEASING",199500,03-01-17,29.14,"EFFECTIVE_RATE",36,8376,"VEHICLE",285000,-653.7,"PERFORMING"
"BMMBA011564","STK2353647","MOTOR BICYCLE ","LEASING",157550,02-01-17,43.03,"EFFECTIVE_RATE",36,7861,"VEHICLE",295000,561.9,"NPL"
"EMMBA015375","STK2360667","MOTOR BICYCLE ","LEASING",106491,03-01-17,28,"EFFECTIVE_RATE",24,5846,"VEHICLE",148500,210,"NPL"
"CGMBA016967","STK2360387","MOTOR BICYCLE ","LEASING",336000,05-01-17,31.96,"EFFECTIVE_RATE",36,14627,"VEHICLE",480000,-420,"PERFORMING"
"RTMBA012448","STK2355148","MOTOR BICYCLE ","LEASING",100000,04-01-17,30,"EFFECTIVE_RATE",24,5592,"VEHICLE",180000,-60,"PERFORMING"
"KWMBA007565","STK880393","MOTOR BICYCLE ","LEASING",160323,10-01-17,28,"EFFECTIVE_RATE",36,6632,"VEHICLE",235500,310.5,"NPL"
"GRMBA003956","STK2359801","MOTOR BICYCLE ","LEASING",130000,03-01-17,39.36,"EFFECTIVE_RATE",24,7910,"VEHICLE",190000,-90,"PERFORMING"
"CGMBA016912","STK2346249","MOTOR BICYCLE ","LEASING",215000,03-01-17,26,"EFFECTIVE_RATE",36,8663,"VEHICLE",340000,-30,"PERFORMING"
"NGMBA015393","STK1389207","MOTOR BICYCLE ","LEASING",101500,23-01-17,60.82,"EFFECTIVE_RATE",12,11496,"VEHICLE",235500,-30,"PERFORMING"
"WPMBA006957","STK2327327","MOTOR BICYCLE ","LEASING",164465,16-01-17,39.78,"EFFECTIVE_RATE",36,7892,"VEHICLE",234950,208.5,"NPL"
"GNMBA015658","STK2342024","MOTOR BICYCLE ","LEASING",73200,23-01-17,49.7,"EFFECTIVE_RATE",24,4871,"VEHICLE",112900,132.6,"PERFORMING"
"ANMBA008944","STK2324218","MOTOR BICYCLE ","LEASING",101400,24-01-17,36.03,"EFFECTIVE_RATE",36,4647,"VEHICLE",179900,120,"PERFORMING"
"GRMBA004427","STK944759","MOTOR BICYCLE ","LEASING",130000,31-01-17,35.08,"EFFECTIVE_RATE",36,5887,"VEHICLE",190000,240,"NPL"
"KLMBA009460","STK579534","MOTOR BICYCLE ","LEASING",100000,02-01-17,40.42,"EFFECTIVE_RATE",24,6142,"VEHICLE",150000,0,"PERFORMING"
"WWMBA007527","STK2322267","MOTOR BICYCLE ","LEASING",96000,04-01-17,39.53,"EFFECTIVE_RATE",24,5850,"VEHICLE",160000,-332.1,"PERFORMING"
"MGMBA018178","STK2024731","MOTOR BICYCLE ","LEASING",307930,02-01-17,34.41,"EFFECTIVE_RATE",48,11891,"VEHICLE",439900,158.1,"PERFORMING"
"KUMBA020696","STK2347796","MOTOR BICYCLE ","LEASING",149196,03-01-17,29.14,"EFFECTIVE_RATE",36,6264,"VEHICLE",234999,0,"PERFORMING"
"PGMBA010538","STK1100877","MOTOR BICYCLE ","LEASING",87500,03-01-17,46.77,"EFFECTIVE_RATE",24,5679,"VEHICLE",125000,416.4,"NPL"
"CGMBA016879","STK2365188","MOTOR BICYCLE ","LEASING",307900,03-01-17,36.14,"EFFECTIVE_RATE",36,14128,"VEHICLE",439900,301.2,"NPL"
"KBMBA012864","STK2365581","MOTOR BICYCLE ","LEASING",158199,03-01-17,61.41,"EFFECTIVE_RATE",12,17968,"VEHICLE",234999,120,"PERFORMING"
"MTMBA010617","STK2367723","MOTOR BICYCLE ","LEASING",162000,09-01-17,41.43,"EFFECTIVE_RATE",30,8756,"VEHICLE",235500,0,"PERFORMING"
"NGMBA014808","STK2367968","MOTOR BICYCLE ","LEASING",167230,07-01-17,45.78,"EFFECTIVE_RATE",24,10762,"VEHICLE",238900,-60,"PERFORMING"
"MOMBA006735","STK1207743","MOTOR BICYCLE ","LEASING",173495,17-01-17,42.91,"EFFECTIVE_RATE",24,10891,"VEHICLE",247850,-90,"PERFORMING"
"AWMBA006742","STK2369763","MOTOR BICYCLE ","LEASING",122500,11-01-17,38.51,"EFFECTIVE_RATE",36,5788,"VEHICLE",175000,179.4,"PERFORMING"
"CGMBA017373","STK2370155","MOTOR BICYCLE ","LEASING",282000,11-01-17,40.23,"EFFECTIVE_RATE",24,17290,"VEHICLE",405500,-60,"PERFORMING"
"KRMBA009743","STK2022897","MOTOR BICYCLE ","LEASING",164850,11-01-17,40.68,"EFFECTIVE_RATE",36,7997,"VEHICLE",235500,188.7,"NPL"
"TRMBA010583","STK2371138","MOTOR BICYCLE ","LEASING",132700,18-01-17,41.1,"EFFECTIVE_RATE",36,6470,"VEHICLE",189900,-120,"PERFORMING"
"EMMBA015843","STK2258980","MOTOR BICYCLE ","LEASING",164850,17-01-17,39.58,"EFFECTIVE_RATE",36,7891,"VEHICLE",235500,-210,"PERFORMING"
"ARMBA013298","STK2373095","MOTOR BICYCLE ","LEASING",159250,16-01-17,40.55,"EFFECTIVE_RATE",36,7713,"VEHICLE",227500,-194.4,"PERFORMING"
