"BORROWER_ID","CONTRACT_NO","DUE_DATE","RENTAL_NO","DUE_AMOUNT","DUE_STATUS"
"STK2079856","PLMBA014455",04-02-17,1,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-03-17,2,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-04-17,3,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-05-17,4,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-06-17,5,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-07-17,6,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-08-17,7,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-09-17,8,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-10-17,9,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-11-17,10,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-12-17,11,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-01-18,12,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-02-18,13,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-03-18,14,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-04-18,15,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-05-18,16,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-06-18,17,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-07-18,18,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-08-18,19,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-09-18,20,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-10-18,21,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-11-18,22,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-12-18,23,8250,"COMPLETED"
"STK2079856","PLMBA014455",04-01-19,24,8250,"COMPLETED"
"STK2221859","KRMBA005035RST1",24-02-17,1,15341.83,"COMPLETED"
"STK2221859","KRMBA005035RST1",24-03-17,2,15341.83,"COMPLETED"
