date,team_1,team_2,inverted_teams,match_id,event_id,best_of,system,t1_removed_1,t1_removed_2,t1_removed_3,t2_removed_1,t2_removed_2,t2_removed_3,t1_picked_1,t2_picked_1,left_over,t1_map1_wr,t1_map2_wr,t1_map3_wr,t2_map1_wr,t2_map2_wr,t2_map3_wr
2020-03-18,TeamOne,Recon 5,1,2340454,5151,3,123412,Vertigo,Train,0.0,Nuke,Overpass,0.0,Dust2,Inferno,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,Rugratz,Bad News Bears,0,2340453,5151,3,123412,Dust2,Nuke,0.0,Mirage,Train,0.0,Vertigo,Inferno,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,Complexity,forZe,1,2340279,5226,3,123412,Inferno,Nuke,0.0,Overpass,Vertigo,0.0,Dust2,Train,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,Singularity,Endpoint,0,2340456,5247,3,123412,Train,Mirage,0.0,Nuke,Inferno,0.0,Overpass,Vertigo,Dust2,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,BIG,fnatic,1,2340397,5226,3,123412,Train,Dust2,0.0,Nuke,Vertigo,0.0,Inferno,Overpass,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,Airborne,Paradox,1,2340443,5236,3,123412,Train,Dust2,0.0,Vertigo,Overpass,0.0,Nuke,Mirage,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,Skyfire,Rooster,1,2340444,5236,3,123412,Dust2,Vertigo,0.0,Train,Nuke,0.0,Inferno,Overpass,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,Espada,Tricked,0,2340455,5247,3,123412,Vertigo,Inferno,0.0,Overpass,Mirage,0.0,Dust2,Nuke,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,HellRaisers,AGO,1,2340449,5150,3,123412,Nuke,Mirage,0.0,Overpass,Dust2,0.0,Inferno,Train,Vertigo,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,Movistar Riders,Sprout,1,2340447,5150,3,123412,Dust2,Train,0.0,Overpass,Vertigo,0.0,Inferno,Mirage,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,Nordavind,GamerLegion,1,2340450,5150,3,123412,Train,Overpass,0.0,Dust2,Inferno,0.0,Vertigo,Mirage,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,Japaleno,pro100,1,2340448,5150,3,123412,Vertigo,Mirage,0.0,Nuke,Overpass,0.0,Inferno,Dust2,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,North,Natus Vincere,1,2340396,5226,3,123412,Train,Inferno,0.0,Vertigo,Mirage,0.0,Nuke,Dust2,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,Spirit,ENCE,1,2340391,5226,3,123412,Overpass,Dust2,0.0,Vertigo,Nuke,0.0,Inferno,Train,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,Singularity,Espada,0,2340328,5247,3,123412,Train,Inferno,0.0,Vertigo,Overpass,0.0,Nuke,Mirage,Dust2,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,GODSENT,Vitality,1,2340063,5226,3,123412,Mirage,Overpass,0.0,Train,Inferno,0.0,Vertigo,Nuke,Dust2,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,NiP,Astralis,1,2340065,5226,3,123412,Dust2,Nuke,0.0,Mirage,Inferno,0.0,Vertigo,Overpass,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,Airborne,I sleep,1,2340430,5248,3,123412,Train,Inferno,0.0,Mirage,Dust2,0.0,Overpass,Nuke,Vertigo,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,Orgless,Dignitas,0,2340338,5242,3,123412,Vertigo,Dust2,0.0,Mirage,Overpass,0.0,Train,Nuke,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,Incept,I sleep,1,2340436,5248,3,123412,Nuke,Overpass,0.0,Train,Mirage,0.0,Dust2,Vertigo,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,Endpoint,Tricked,0,2340329,5247,3,123412,Nuke,Inferno,0.0,Vertigo,Overpass,0.0,Dust2,Train,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,FunPlus Phoenix,Cloud9,0,2340337,5242,3,123412,Dust2,Overpass,0.0,Mirage,Vertigo,0.0,Nuke,Train,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,Paradox,ORDER,1,2340282,5236,3,123412,Nuke,Train,0.0,Overpass,Dust2,0.0,Inferno,Vertigo,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
