,team_1,team_2,_map,result_1,result_2,map_winner,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner
0,Recon 5,TeamOne,Dust2,0,16,2,5151,2340454,62,63,0,2,2
1,Recon 5,TeamOne,Inferno,13,16,2,5151,2340454,62,63,0,2,2
2,New England Whalers,Station7,Inferno,12,16,2,5243,2340461,140,118,12,16,2
3,Rugratz,Bad News Bears,Inferno,7,16,2,5151,2340453,61,38,0,2,2
4,Rugratz,Bad News Bears,Vertigo,8,16,2,5151,2340453,61,38,0,2,2
5,Singularity,Endpoint,Overpass,13,16,2,5247,2340456,71,41,0,2,2
6,Singularity,Endpoint,Vertigo,11,16,2,5247,2340456,71,41,0,2,2
7,Espada,Tricked,Dust2,16,10,1,5247,2340455,56,77,2,0,1
8,Espada,Tricked,Nuke,16,10,1,5247,2340455,56,77,2,0,1
9,fnatic,BIG,Mirage,12,16,2,5226,2340397,5,18,1,2,2
10,Sprout,Movistar Riders,Mirage,16,10,1,5150,2340447,33,37,2,0,1
11,Rooster,Skyfire,Inferno,16,13,1,5236,2340444,103,126,2,0,1
12,Rooster,Skyfire,Overpass,16,1,1,5236,2340444,103,126,2,0,1
13,Paradox,Airborne,Nuke,19,16,1,5236,2340443,112,187,1,2,2
14,Paradox,Airborne,Mirage,9,16,2,5236,2340443,112,187,1,2,2
15,Paradox,Airborne,Inferno,10,16,2,5236,2340443,112,187,1,2,2
16,Alcoholics Anonymous,Station7,Mirage,5,16,2,5243,2340131,117,118,5,16,2
17,New England Whalers,District 7,Nuke,16,7,1,5243,2340130,140,91,16,7,1
18,AGO,HellRaisers,Train,16,5,1,5150,2340449,45,49,2,0,1
19,AGO,HellRaisers,Inferno,16,5,1,5150,2340449,45,49,2,0,1
20,Sprout,Movistar Riders,Inferno,16,7,1,5150,2340447,33,37,2,0,1
21,fnatic,BIG,Overpass,16,7,1,5226,2340397,5,18,1,2,2
22,Natus Vincere,North,Nuke,10,16,2,5226,2340396,1,23,0,2,2
23,Natus Vincere,North,Dust2,10,16,2,5226,2340396,1,23,0,2,2
