,team_won,team_lost,winning_score,losing_score,winning_rank,losing_rank
0,ENCE,mousesports,2,0,22,8
1,ENCE,mousesports,2,1,22,8
2,ENCE,mousesports,2,1,22,8
3,ENCE,mousesports,16,12,22,8
4,Endpoint,mousesports,2,1,26,8
5,Endpoint,mousesports,2,0,26,8
6,NIP,mousesports,2,1,6,8
7,NIP,mousesports,2,1,6,8
8,NIP,mousesports,2,0,6,8
9,NIP,mousesports,16,14,6,8
10,NIP,mousesports,16,7,6,8
11,NIP,mousesports,16,12,6,8
12,NIP,mousesports,16,9,6,8
13,NIP,mousesports,19,17,6,8
14,NIP,mousesports,16,13,6,8
15,NIP,mousesports,2,0,6,8
16,NIP,mousesports,16,6,6,8
17,NIP,mousesports,16,9,6,8
18,NIP,mousesports,16,8,6,8
19,NIP,mousesports,16,5,6,8
20,NIP,mousesports,16,13,6,8
21,NIP,mousesports,16,10,6,8
22,NIP,mousesports,2,0,6,8
23,Gambit,mousesports,2,0,1,8
24,Gambit,mousesports,2,1,1,8
25,Gambit,mousesports,2,1,1,8
26,Natus Vincere,mousesports,16,14,2,8
27,Natus Vincere,mousesports,2,1,2,8
28,Natus Vincere,mousesports,2,1,2,8
29,Natus Vincere,mousesports,2,1,2,8
30,Natus Vincere,mousesports,16,14,2,8
31,Natus Vincere,mousesports,16,8,2,8
32,Natus Vincere,mousesports,2,1,2,8
33,Natus Vincere,mousesports,2,0,2,8
34,Natus Vincere,mousesports,16,5,2,8
35,Natus Vincere,mousesports,2,0,2,8
36,Natus Vincere,mousesports,2,0,2,8
37,Natus Vincere,mousesports,16,3,2,8
38,Natus Vincere,mousesports,16,10,2,8
39,Natus Vincere,mousesports,2,0,2,8
40,Natus Vincere,mousesports,2,0,2,8
41,Natus Vincere,mousesports,16,13,2,8
42,G2,mousesports,2,0,3,8
43,G2,mousesports,2,0,3,8
44,G2,mousesports,2,1,3,8
45,G2,mousesports,2,1,3,8
46,G2,mousesports,2,1,3,8
47,G2,mousesports,16,3,3,8
48,G2,mousesports,16,2,3,8
49,G2,mousesports,16,9,3,8
50,G2,mousesports,16,7,3,8
51,G2,mousesports,16,11,3,8
52,G2,mousesports,16,10,3,8
53,G2,mousesports,16,10,3,8
54,G2,mousesports,16,6,3,8
55,G2,mousesports,2,1,3,8
56,DBL PONEY,mousesports,16,12,27,8
57,BIG,mousesports,2,1,9,8
58,BIG,mousesports,16,14,9,8
59,BIG,mousesports,16,9,9,8
60,BIG,mousesports,19,16,9,8
61,BIG,mousesports,19,17,9,8
62,BIG,mousesports,16,10,9,8
63,Complexity,mousesports,2,1,13,8
