,team_won,team_lost,winning_score,losing_score,winning_rank,losing_rank
0,Copenhagen Flames,1WIN,2,0,,
1,ENCE,mousesports,2,0,22.0,8.0
2,Endpoint,Sharks,2,1,26.0,
3,NIP,MIBR,2,1,6.0,
4,Fiend,Iberian Family,2,0,23.0,
5,ALTERNATE aTTaX,AGO,2,1,,
6,Budapest Five,Young Ninjas,2,1,,
7,Dire Wolves,Rooster,2,1,,
8,VERTEX,Paradox,2,0,,
9,Renegades,Chiefs,2,0,,
10,ORDER,R!OT,2,0,,
11,Lyngby Vikings,MIBR,2,1,,
12,Galaxy Racer,HYENAS,1,0,,
13,Copenhagen Flames,ALTERNATE aTTaX,2,1,,
14,EXTREMUM,Budapest Five,2,0,25.0,
15,K23,KHAN,2,0,,
16,Iberian Family,MIBR,2,0,,
17,Sharks,Galaxy Racer,2,1,,
18,Endpoint,HYENAS,1,0,26.0,
19,Anonymo,Young Ninjas,2,0,,
20,Fiend,Lyngby Vikings,2,1,23.0,
21,1WIN,AGO,2,1,,
22,Third Impact,X13,2,1,,
23,ENCE,Endpoint,2,1,22.0,26.0
24,SAW,OFFSET,2,1,,
25,Gambit,Natus Vincere,2,0,1.0,2.0
26,100PG,K23,2,1,,
27,Good Game,4glory,2,1,,
28,GAIJIN,Red Instinct,2,0,,
29,ONYX,PORTUGAL,2,0,,
30,Sinners,Entropiq Prague,3,1,,
31,Fiend,Copenhagen Flames,2,1,23.0,
32,Natus Vincere,G2,2,1,2.0,3.0
33,Galaxy Racer,SJ,2,0,,
34,PORTUGAL,Good Game,2,0,,
35,Nemiga,KHAN,2,0,,
36,ENCE,HYENAS,2,0,22.0,
37,Renewal,NKT,2,1,,
38,Sampi,Enterprise,2,1,,
39,ONYX,4glory,2,0,,
40,HYENAS,K23,2,0,,
41,Third Impact,GGPR,2,0,,
42,Triumph,X13,2,0,,
43,Third Impact,Mythic,2,1,,
44,GGPR,Counter Nature,2,0,,
45,G2,NIP,2,1,3.0,6.0
46,Nordavind,Entropiq,2,0,,16.0
47,100PG,EC Kyiv,2,0,,
48,forZe,K23,2,0,17.0,
49,Lin4evateli,Sestri,2,0,,
50,Young Ninjas,Sangal,2,1,,
51,KHAN,ex-Marlian,2,1,,
52,Entropiq,Nemiga,2,1,16.0,
53,Gambit,Natus Vincere,2,1,1.0,2.0
54,Checkmate,NKT,2,0,,
55,Renewal,HZ,2,0,,
56,Entropiq Prague,Sampi,2,0,,
57,ENCE,K23,2,0,22.0,
58,Sangal,Tricked,2,0,,
59,NKT,Renewal,2,1,,
60,Sinners,Enterprise,2,0,,
61,Checkmate,HZ,2,1,,
62,Sangal,EC Brugge,2,0,,
63,ex-Marlian,EC Kyiv,2,1,,
64,HYENAS,Entropiq,1,0,,16.0
65,GGPR,Triton,2,0,,
66,Third Impact,ChocoCheck,1,0,,
67,X13,Counter Nature,2,1,,
68,Triumph,Mythic,2,0,,
69,K23,100PG,2,1,,
70,SAW,DBL PONEY,2,0,,27.0
71,G2,Complexity,2,1,3.0,13.0
72,forZe,EC Kyiv,2,0,17.0,
73,Anonymo,1WIN,2,1,,
74,777,SKADE,2,0,,28.0
75,Nemiga,ex-Marlian,2,0,,
76,HYENAS,Lyngby Vikings,2,0,,
77,Entropiq,KHAN,2,0,16.0,
78,NIP,BIG,2,0,6.0,9.0
79,DBL PONEY,Tricked,2,0,27.0,
