,team_1,result_1,result_2,team_2
0,Gambit,2,0,Gambit
1,Natus Vincere,2,1,Natus Vincere
2,Third Impact,2,1,X13
3,ENCE,2,1,ENCE
4,SAW,2,1,OFFSET
5,Gambit,2,0,Gambit
6,100PG,2,1,K23
7,Good Game,2,1,4glory
8,GAIJIN,2,0,GAIJIN
9,ONYX,2,0,ONYX
10,Sinners,3,1,Sinners
11,Fiend,2,1,Fiend
12,Natus Vincere,2,1,Natus Vincere
13,Galaxy Racer,2,0,Galaxy Racer
14,PORTUGAL,2,0,Good Game
15,Nemiga,2,0,Nemiga
16,ENCE,2,0,ENCE
17,Renewal,2,1,Renewal
18,Sampi,2,1,Enterprise
19,ONYX,2,0,ONYX
20,HYENAS,2,0,HYENAS
21,Third Impact,2,0,GGPR
22,Triumph,2,0,Triumph
23,Third Impact,2,1,Mythic
24,GGPR,2,0,Counter Nature
25,G2,2,1,NIP
26,Nordavind,2,0,Entropiq
27,100PG,2,0,EC Kyiv
28,forZe,2,0,forZe
29,Lin4evateli,2,0,Lin4evateli
30,Young Ninjas,2,1,Young Ninjas
31,KHAN,2,1,KHAN
32,Entropiq,2,1,Entropiq
33,Gambit,2,1,Gambit
34,Checkmate,2,0,Checkmate
35,Renewal,2,0,HZ
36,Entropiq Prague,2,0,Sampi
37,ENCE,2,0,ENCE
38,Sangal,2,0,Tricked
39,NKT,2,1,NKT
40,Sinners,2,0,Sinners
41,Checkmate,2,1,HZ
42,Sangal,2,0,EC Brugge
43,ex-Marlian,2,1,ex-Marlian
44,HYENAS,1,0,Entropiq
45,GGPR,2,0,Triton
46,Third Impact,1,0,Third Impact
47,X13,2,1,Counter Nature
48,Triumph,2,0,Triumph
49,K23,2,1,K23
50,SAW,2,0,SAW
51,G2,2,1,G2
52,forZe,2,0,forZe
53,Anonymo,2,1,1WIN
54,777,2,0,SKADE
55,Nemiga,2,0,Nemiga
56,HYENAS,2,0,Lyngby Vikings
57,Entropiq,2,0,Entropiq
58,NIP,2,0,NIP
59,DBL PONEY,2,0,DBL PONEY
60,Iberian Family,2,1,Apeks
61,Tricked,16,14,Sangal
62,EC Kyiv,2,0,EC Kyiv
63,Entropiq,2,0,Entropiq
64,DBL PONEY,16,9,DBL PONEY
65,ex-Marlian,2,0,TheDice
66,HYENAS,2,0,Budapest Five
67,Counter Nature,2,0,Third Impact
68,X13,2,0,ChocoCheck
69,Mythic,2,1,Mythic
70,Triumph,2,0,Triumph
71,HAVU,2,1,HAVU
72,SAW,2,0,SAW
73,Entropiq Prague,2,0,Entropiq Prague
74,Natus Vincere,2,0,BIG
75,AGF,2,1,Tricked
76,Gambit,2,0,Gambit
77,Enterprise,2,1,Enterprise
78,Galaxy Racer,2,1,1WIN
79,Lyngby Vikings,2,1,Lyngby Vikings
80,K23,2,1,Dignitas
81,Trident,2,0,Budapest Five
82,G2,2,1,G2
83,Iberian Family,2,1,Iberian Family
84,Trident,2,1,SKADE
85,ENCE,2,0,ENCE
86,Copenhagen Flames,2,0,Budapest Five
87,HYENAS,2,1,HONORIS
88,Apeks,2,0,Apeks
89,Big Chillin,2,1,QcClan
90,CENSRD,2,1,Third Impact
91,Mythic,2,0,Mythic
92,Triumph,2,0,Triumph
93,paiN,2,0,paiN
94,ChocoCheck,2,0,ChocoCheck
95,NIP,2,0,Evil Geniuses
96,GamerLegion,2,1,Sprout
97,AGO,2,1,AGO
98,Wisla Krakow,2,1,SAW
99,forZe,2,1,ALTERNATE aTTaX
100,OFFSET,2,0,OFFSET
101,Endpoint,2,0,Sangal
